id,season,no_of_episode_season,title,imdb_rating,synopsis
78,4,28,Stewie B. Goode (Part 1)[c],7.6,"Peter and Lois try to teach Stewie how to swim. After meeting the star pupil of the swimming class, Brad, Stewie finds he can not compete with him. Attempting to beat him in a race, Stewie ends up barely leaving the starting line, and because of this, he attempts to kill Brad. Meanwhile, at the Lackluster Video store, Peter starts ranting on how the new video store will not sell pornography. While he continues, Tom Tucker from Channel 5 News was there and wants to give Peter his own segment called “You Know What Really Grinds My Gears?” The segment instantly becomes popular, causing Tom to become jealous of Peter’s fame. The next day he attempts to sabotage Peter’s segment, leading to the network head’s firing of Tom. After a short period, Tom Tucker learns about Stewie driving the car into the Drunken Clam under the influence. Peter’s lack of parenting skills lead to him being fired and Tom Tucker being rehired."
79,4,29,"Bango Was His Name, Oh! (Part 2)[c]",7.6,"Visiting a local electronic store to get a new VCR, Peter and Lois are persuaded into buying a TiVo. Once home, Brian and Stewie are watching a news interview when Stewie sees someone identical to him. Stewie believes that the man he sees is his real father. When he discovered this, he starts trying to make money for a flight to California and once Stewie is ready, he learns that Quagmire is going to the same location as he is, and changes his plans to go along with him. Brian stops him, and insisted of going with him. Meanwhile, Peter is trying to have sex with Lois but Chris and Meg keep intruding. Lois and Peter decide to get their kids to start dating. Lois teaches Chris how to treat a woman, manners, eating out, and to name the women of Sex and the City through example and torture, while Peter teaches Meg how to treat a man through shaving his back and loving the man’s flatulence."
80,4,30,Stu and Stewie's Excellent Adventure (Part 3)[c],7.8,"""Stu"", as Stewie's future self is called, is taking a time-travel vacation. When Stu travels back to the future, Stewie stows away with him. Stu passes off Stewie as a Nicaraguan boy named Pablo. Stewie learns that at age 35, he will be a virgin working for the Quahog Circuit Shack, and living by himself in an apartment. Disgusted with the way his life will turn out, Stewie remodels Stu's apartment and gets him to lose his virginity to his co-worker Fran. The next day, Fran tells everyone about it, costing Stu his job for having relations with a co-worker. With his life now ruined, Stu laments the day of his near-death experience at the Community Pool, revealing that memories of the experience will re-surface when Stewie is twenty, causing him to regress and preventing him from taking any risks."
81,5,1,Stewie Loves Lois,8.2,"Quahog succumbs to a flu epidemic, and vaccinations are in short supply. While attempting to receive one from Dr. Elmer Hartman, the Griffin family doctor, Peter is informed he is in need of a prostate exam, but leaves the exam immediately under the belief that the doctor had attempted to rape him. He decides to sue the doctor, to the disbelief of Brian and Lois. Upon later discovering he has developed prostate cancer, he reaches an agreement with the doctor: if he drops all charges, Dr. Hartman will diagnose Peter's problem. Meanwhile, Stewie begins to admire Lois, after she rescued his beloved teddy bear, Rupert, from a vicious dog, and repaired it. As he becomes increasingly dependent on her, she attempts a hands-off parenting approach, ultimately leading Stewie to return to his old ways after she refuses to respond to his need for attention."
82,5,2,Mother Tucker,7.4,"While attending the Quahog Airshow, the Griffins lose Stewie. A passing radio worker consults Brian over the prospect of beginning a stint as a radio host, after hearing him call for Stewie over the loud-speaker. Brian then begins his radio career, but is told to seek the aid of Stewie, after he had made a prank call to Brian while he was on the air, much to his annoyance. Meanwhile, Thelma Griffin, Peter's mother, visits the household, telling Peter she has split up with his father, Francis Griffin, to Peter's dismay. She begins a sexual relationship with local news anchorman Tom Tucker, but the couple break up just as Peter is beginning to adapt to having a new father. Brian later resigns from his radio career for unspecified reasons after Gore Vidal walks into one of his shows."
83,5,3,Hell Comes to Quahog,7.5,"After Peter fails to pick up Meg from the skating rink, she demands that Peter and Lois allow her to buy a car. Despite Meg showing an interest in a station wagon, Peter uses her money to buy a military tank. After he repeatedly uses it to destroy objects in the neighborhood, Joe Swanson impounds it. Meanwhile, a new shop is being built, Superstore USA. When it opens, Quahog begins to suffer from frequent power outages, due to the store's increasing demand for electricity. Small businesses in the town also begin to go out of business. After looking for a job, Meg is employed by the store, despite Peter leading protests outside. When Peter is persuaded by the store to become an employee, Brian decides to destroy the store. He obtains the tank and, alongside Stewie, destroys the store from the inside out, and regular living circumstances are restored to the town."
84,5,4,Saving Private Brian,7.6,"Chris decides he wants to join the United States Army after a presentation by the organization at his school. After telling the family over dinner in the evening, Brian stops at the army recruitment office the following day, when taking Stewie out of the house, but Stewie decides to sign the pair of them up for the army when Brian leaves to top-off the parking meter. Brian becomes stressed with the army training, and later decides he is going to leave, but is persuaded otherwise by Stewie. In an attempt to distract Chris from joining the army, Peter gets Chris a role in a gothic school band, which turns Chris into a rude child. Brian then successfully completes the training with Stewie, and the pair are sent to serve in Iraq, where, upon discovering they do not want to be there, attempt to get themselves dismissed. After this fails, a message comes through telling them that the war is over, and that they are free to go home."
85,5,5,Whistle While Your Wife Works,7.7,"Quagmire returns from a vacation in Florida, smuggling fireworks back in his anus. When playing with the fireworks, Peter ends up holding one of the lit firecrackers, and it explodes, blowing off several of his fingers in the process. His fingers are reattached by hospital staff, but Peter begins to fall behind at work, so he requests that Lois do his work for him, after being threatened with the prospect of dismissal if he does not catch up. Peter attempts on numerous occasions to seduce Lois, resulting in her eventually giving in, and having sex with him in his office. Meanwhile, Brian begins dating Jillian, an attractive, but ""dumb"" young woman; much to the enjoyment of Stewie. Persuaded by Stewie to end the relationship, due to her lack of intelligence, Brian goes to her house, but ends up having sex with her, rather than breaking up."
86,5,6,Prick Up Your Ears,7.3,"After finding Chris and his friends watching pornography in his bedroom, Lois tells Chris to speak to his sex-education teacher if he is curious about sex, but is shocked to learn that the school does not have one, due to budget constraints. She applies for the role and is accepted, but is quickly fired due to parents protesting outside the school. The school then hires a Reverend to teach the children not to have sex before marriage. In agreement to the Reverend's teaching, the students of James Woods High establish 'ear sex,' much to Lois's chagrin after she catches Meg and her new boyfriend, Doug, engaging in the act. Later, during another assembly presented by the Reverend, Lois takes over the assembly and tells the children that sex is not wrong and is acceptable before marriage if they are ready. The children realize how they have been brainwashed, and agree with Lois. Meg's new boyfriend soon ends his relationship with her, leaving Meg distraught. Meanwhile, Stewie decides to capture the tooth fairy for stealing his baby teeth, after they had fallen out, but is unable to do so."
87,5,7,Chick Cancer,7.5,"When watching television with Brian, Stewie discovers his old friend, Olivia, a female actress, is coming to Quahog in an attempt to boost her Hollywood career. Stewie insists Brian should take him to the mall to ridicule her when she arrives, but he instantly begins to fall in love with her. At first, she does not feel the same way, but decides to date Stewie when he attempts to act in a more mature manner. The couple get married with Stewie's teddy bear, Rupert, as the minister, but Stewie becomes irritable at Olivia after she flirts with one of her old friends at a party. After walking in on Olivia cheating with the child from the party, he leaves the house in anger and decides to set fire to it, leaving Olivia and her new partner to burn. Meanwhile, Peter decides to make a 'chick flick' after being inspired by a movie Lois had asked him to watch with her."
88,5,8,Barely Legal,7.9,"After Mayor West deploys the entire Quahog Police Department to Cartagena, Colombia, after watching Romancing the Stone, Joe is left behind due to Colombia ""not being accessible for those in wheelchairs."" Peter, Cleveland and Quagmire offer to become police officers after Joe sets up an emergency training school. Meanwhile, after seeing Meg upset at not getting a date for the Junior prom and threatening suicide, Brian offers to take her there, to her agreement. After kissing her while at the prom, Meg begins to fall in love with Brian, despite Brian not feeling the same way. After he tells Lois about kissing Meg at the prom, she repeatedly hits him and tells him to set things straight with her. Brian then decides to tell Meg that they will never be a couple, to which she eventually takes Brian to an undisclosed location and attempts to seduce him after she had tied him to a chair. As she is attempting this, Quahog's new police force, and Lois, stop Meg and Quagmire invites her to his house to have a heart-to-heart talk with her about relationships."
89,5,9,Road to Rupert,7.9,"The Griffins have a yard sale, but Brian inadvertently sells Stewie's beloved teddy bear, Rupert, to a neighbor. Distraught at the prospect of losing Rupert, Stewie tracks him down, but when they find the neighbor's house, it is empty. As they leave, they see a moving truck pulling away, and hitch a ride with Mayor West, asking him to follow the truck. West agrees, but stops outside the border to Connecticut, refusing to enter, due to his personal beliefs. As they leave the car, a box falls from the moving truck with the new address on it. After discovering the buyer, Sanford, is moving to Aspen, Colorado, Stewie and Brian rent a helicopter to travel across the mountains. Upon arriving, the two discover Sanford's reluctance to give Stewie the bear, and so they both challenge him to a ski race down the mountain, agreeing that if Stewie wins, he can get Rupert back. After losing the race, Stewie then grabs the bear from Sanford's child; then he and Brian carjack a passing motorist to return to Quahog."
90,5,10,Peter's Two Dads,7.6,"Lois and Peter forget Meg's upcoming birthday, and have to be reminded about it by Chris. They organize a party in the house, with Peter as a clown. After excessive drinking, Peter attempts to ride a unicycle down the stairs, but falls and lands on his father, Francis, crushing him and later killing him. Upset at his father's death, Peter decides to give up drinking, but quickly replaces it with crack. After being referred to a hypnotherapist by Brian, Peter recalls his father telling him as a child that he is not his biological father. Consulting with his mother afterwards, Peter discovers his father lives in the Republic of Ireland. Peter and Brian decide to travel there to meet him, only to discover Peter's real father is the town drunk. Meanwhile, Stewie discovers he suffers from masochism and enjoys being hit."
91,5,11,The Tan Aquatic with Steve Zissou,7.6,"Stewie develops a tan due to Peter's neglect while golfing, much to Lois's annoyance. Stewie is fond of the tan, and begins visiting tanning stores, as well as purchasing a tanning bed for his own bedroom. After asking Brian to wake him up after a short period of time in the tanning bed, Brian falls asleep, and Stewie is severely burnt after being in the bed for more than six hours. After his skin peels, Stewie decides to give up his tan, but discovers a mole on his stomach. Brian immediately takes him to Dr. Hartman so that tests can be performed on the mole. While awaiting the results over several days, Stewie believes he is dying, and asks Brian to assist him in fulfilling a list of final requests. Stewie later learns the mole is not cancerous, and he will survive, but still requests Brian's help in fulfilling his list of final requests. Meanwhile, Chris is bullied by Kyle, a new paper boy who is stealing his customers. Annoyed at Kyle for picking on Chris, Peter beats him up, but discovers bullying is fun, and begins to bully his friends. After preparing to beat up Randy, another child who bullied Peter as a young boy, he is stopped by Chris and is convinced that what he is doing is wrong."
92,5,12,Airport '07,7.7,"After attending a redneck comedy show, Peter purchases a pickup truck and decides to become a redneck. Peter begins behaving as if he were a redneck, eventually painting over the entire rear window of his pickup, which results in him reversing the car into his neighbor Quagmire's car. After destroying the car, Peter drives Quagmire to the airport, as he is due to fly an airplane. While at the airport, Peter steals the fuel used for Quagmire's airplane, naively believing it will make his pickup fly, resulting in Quagmire's plane crashing safely shortly after, due to a lack of fuel. As a result, Quagmire loses his job and is forced to live with the Griffins until he can find another place to work. Peter claims he is no longer going to be a redneck, although this fails to comfort Quagmire over his loss. The group then sets out to get Quagmire his job back by incapacitating the pilots of another plane, causing it to need to be rescued by Quagmire, making him a town hero. The plan backfires, however, as Quagmire does not get on the plane in time. Quagmire eventually contacts Peter, Cleveland and Joe via air traffic control and instructs Peter on landing the plane safely. The plan succeeded and Quagmire got his job back, even though Peter took responsibility for hijacking accusations."
93,5,13,Bill & Peter's Bogus Journey,7.3,"After being attacked by an octopus at the aquarium, Peter decides to become physically fit, and spends a mere fifteen minutes at the gym, then believing that he is now fit. Later, former U.S. President Bill Clinton's car breaks down outside their house, and Peter, thinking he is strong enough, attempts to lift the car without a jack, which results in him getting a sudden severe hernia and being hospitalized. Depressed at the concept of becoming old, he confides in Clinton, after he visits Peter in the hospital, who tells Peter that age is only a state of mind. When Peter recovers, Bill takes him out to help him realize he can still have fun, but things eventually get out of hand when they start smoking marijuana, then steal things and cause mischief while high. Meanwhile, Stewie and Brian attempt to be toilet trained by buying an instructional video hosted by Roy Scheider (appearing as himself), but Brian persists to leave his feces in the garden, thus making Lois force him to wear a diaper."
94,5,14,No Meals on Wheels,7.2,"Peter is irritated by Mort, the local pharmacist in Quahog, constantly borrowing his things, so he makes a ""Scare-Jew"" out of his best suit. Frustrated, Lois takes him to a secondhand clothing store to get a new suit, where Peter finds some flannel pajamas. While wearing them, he begins to notice that he can shock people with static electricity by rubbing his feet on the carpet. Annoyed by this, Lois has the carpet completely removed. When this is done, they find an 18th-century Rhode Island ship token, which the family sells for $50,000."
95,5,15,Boys Do Cry,7.2,"Lois gets a job as the new organist for the church, which causes her to decide to persuade her family to start attending mass on Sundays. After Stewie mistakes Communion wine for punch, he drinks too much and vomits; the town of Quahog then believes Stewie to be possessed by Satan (since according to Roman Catholic theology the wine is the blood of Christ, and Satan would reject it). When the priest wants to exorcise him, aided by the entire town, the Griffin family escapes to Lois' sister Carol's house in Texas. While there, the family adapts to the Texan lifestyle, and Stewie enters a beauty pageant. Peter also becomes friends with ranchers, and after admitting to them that he is considered ""mentally retarded"", the ranchers attempt to kill him by execution in an electric chair. He is saved however, and the family then returns home to Quahog after the search for Stewie is called to an end."
96,5,16,No Chris Left Behind,7.3,"Lois takes the family out to the ballet Swan Lake on a late school night. As Chris studies at the breakfast table for an upcoming exam the next morning, Brian notices that Chris' history textbook is hopelessly out of date (published in 1896 in the Adult Swim version of the show, 1948 in the Fox version). Upset by this, Lois goes to a PTA meeting to complain. The high school principal, Principal Shepherd, explains that the school cannot afford new textbooks because the school lost its federal funding due to low test scores, as a result of the ""No Child Left Behind Act."" His solution for raising the school's performance average is to expel the dumbest student, who happens to be Chris."
97,5,17,"It Takes a Village Idiot, and I Married One",7.5,"The Griffin family vacations at Quagmire's cabin. While the family goes swimming in Lake Quahog, they discover that a nearby oil refinery is dumping toxic waste into the lake. As the family flees from the lake, they become almost completely hairless. They are ultimately forced to wear wigs until their hair grows back, and once it does, Lois complains to Mayor Adam West, who admits that he sanctioned the dumping in exchange for free oil for his hair. Outraged, Lois decides to run against West in the upcoming mayoral election. Peter and his friends, meanwhile, become strong supporters of Lois' campaign, realizing that they could get away with anything because of their relations to Lois if she becomes mayor. As such, they do everything in their power to gain the town's support so that she can win the race. Lois is then elected, and succumbs to pressure by the toxic dump owner to allow him to resume dumping in the lake. Lois then decides to resign, and West then become mayor again, after agreeing to ""play ball"" with the waste dump owner."
98,5,18,Meet the Quagmires,8.4,"After hearing Quagmire brag about his sexual exploits, Peter feels that he has missed out on enjoying the single lifestyle. Death is summoned to The Drunken Clam on a false alarm, and he grants Peter's wish by sending him (along with Brian) back to 1984 for one night. Appearing to others as his 18-year-old self, Peter cancels his scheduled movie date to see Zapped! with Lois Pewterschmidt, instead accepting an invitation from Cleveland to go and party at a bar. Peter enjoys the evening, and ends up making out with actress Molly Ringwald, when Death appears to return him to the present. Back in the present day, Peter then discovers that his past actions have had drastic effects on the world; he and Molly have been married for 20 years, Lois is married to Quagmire, Al Gore is president instead of former U.S. President George W. Bush, Chris, Meg, and Stewie have Quagmire's chin, nose, and mannerisms, Dick Cheney, who is just known as the chairman of Halliburton, has just shot dead Antonin Scalia, Karl Rove, and Tucker Carlson, and finally, Chevy Chase is the host of The Tonight Show. Brian explains to Peter that by missing out on his date with Lois and making out with Molly, he altered the time line. At the end of the episode, Peter says ""I'm just glad everything is back to normal"" and then Roger the Alien from American Dad! walks in and says ""Who ate all the pecan sandies?"""
99,6,1,Blue Harvest,8.2,"When the power goes out in the Griffin home, Peter decides to educate his family and pass along the greatest story ever told: the story of Star Wars! After Princess Leia (Lois) comes under siege by Darth Vader (Stewie) and his evil Storm Troopers, C-3PO (Quagmire) and R2-D2 (Cleveland) escape to find the only person who can help the Rebel Alliance. On their quest thorough the desert planet of Tatooine, C-3PO and R-2D2 find extra help in Obi-Wan Kenobi (Herbert), Luke Skywalker (Chris), Han Solo (Peter) and Chewbacca (Brian) and head back to battle the Death Star in an epic intergalactic fight to the death."
100,6,2,Movin' Out (Brian's Song),7.2,"When Peter convinces Brian to get an apartment with his dense girlfriend Jillian, he is angry at first but soon becomes happy living with her, only to realize he needs to pay the rent, so he allows Stewie to move in with them so he can help pay. But his place in the apartment interferes with their happiness, and a bitter argument results in Brian and Jillian officially breaking up. Meanwhile, Meg gets a job at the local convenience store, as does Chris, who gets chummy with the manager Carl and is given a large promotion originally promised to Meg. She eventually stands up for herself, resulting in her termination, and Lois convinces Chris to help his sister get her job back."
101,6,3,"Believe It or Not, Joe's Walking on Air",7.4,"Tired of being handicapped, Joe decides to get a leg transplant so he can walk again. After the successful operation and excited about his new ability to walk, Joe dives head first into extreme sports, where he soon outgrows his friends and ditches them to hang out with jocks. Peter and his pals are upset by this, and become shocked when Joe's new lifestyle eventually leads him to leave Bonnie. Peter suggests to Cleveland and Quagmire that in order to get their friend back they must paralyze him once again."
102,6,4,Stewie Kills Lois (Part 1),8.3,"Lois and Peter go on a cruise, leaving Stewie and the family behind. Upset with Lois for leaving him at home, Stewie vows to carry out a diabolical plan. When Brian challenges him to actually do it, Stewie stows away on the ship, finds Lois and shoots her, seemingly killing her and resulting in Peter being blamed for her murder."
103,6,5,Lois Kills Stewie (Part 2),8.3,"Just as Lois was presumed dead by Peter's hand, with Peter about to be jailed for life, she makes a miraculous return from the wilderness and names Stewie as her killer. From there, Stewie escapes the law, where he ties up the family and reveals his true nature. He forces Brian into helping him fulfill his lifelong goal of taking over the world, and succeeds when Stan Smith and the CIA submit to his threats. After suffering several days under Stewie's reign, Lois decides she has no choice but to arm herself to kill Stewie and save the world."
104,6,6,Padre de Familia,6.9,"Peter starts an anti-immigration group after being caught up in the pro-American sentiment at a Veterans' Day parade, but his tune quickly changes when he finds out he was born in Mexico. Unable to prove his citizenship, pass the naturalization test or convince investigators that his marriage to Lois is for real, he ends up working as a groundskeeper on his father-in-law's estate and leading the fight for immigrant rights."
105,6,7,Peter's Daughter,7.3,"When a flood hits Quahog, Meg winds up in the hospital in a coma, but she wakes up to a cute med student named Michael and they immediately hit it off. After Meg recovers, Peter is very protective of her, so he drives Michael away. But when Meg reveals to the family that she is pregnant, Peter forces them to get married. Meanwhile, Stewie proposes to Brian that they invest on renovating a house that was wrecked during the floods, then sell it off for huge profits."
106,6,8,McStroke,7.6,"Peter decides to grow a mustache, but then he's mistaken for a fireman (because they all have mustaches), so he lends a hand when a fire breaks out at a local fast food restaurant. The owner gives him unlimited burgers as a ""thank you"" but he eats so many that he eventually has a stroke. When Peter recovers, he vows to expose the fast-food company and becomes friends with a genetically engineered cow he meets after infiltrating the McBurgertown warehouse."
107,6,9,Back to the Woods,7.4,"James Woods returns after being locked in a crate to seek revenge against Peter by stealing his identity and by law takes over as head of the Griffin household and forces Peter off his own property. To reunite with his family and save them from James' abuse and manipulation, Peter decides to steal his identity and pose as him, where he offends the country to obliterate his career and image."
108,6,10,"Play It Again, Brian",7.2,"Peter and Lois's marriage is on the rocks, but when Brian wins the New England Rising Writer’s award, the three of them head to Martha's Vineyard for a relaxing vacation. As Peter's drinking spirals out of control, so does Brian's self restraint as he professes his undying love for Lois, putting Peter and Brian in a serious feud that will test their friendship and determine the fate of the Griffins."
109,6,11,The Former Life of Brian,6.8,"When Brian is afraid that he has lost his chance at love, he goes in search of a former flame Tracy only to discover he is the father of her unruly son, Dylan. After Brian’s surprise visit, Tracy drops Dylan off at the Griffin's so Brian can raise him. Subsequently, his new little angel begins terrorizing the Griffin household and Brian's self-important attitude toward parenting infuriates Peter and Lois."
110,6,12,Long John Peter,7.6,"It's a pirate's life for Peter when he gets a pet parrot. But after raising hell in Quahog and terrorizing the neighbors, Peter accidentally kills his beloved pet. Meanwhile, Chris takes Brian to the local vet, where an intern named Ana falls for him."
111,7,1,"Love, Blactually",6.8,"Brian begins dating a woman named Carolyn, but decides not to have sex with her because (as Stewie points out) none of his relationships have worked because he has sex immediately after they meet. After three weeks, Brian finds out that Carolyn is dating Cleveland because she thinks Brian only wants friendship. This leads Brian to convince Cleveland's ex-wife Loretta to reconcile with him so Brian can date Carolyn. Loretta invites Cleveland to a hotel to reconcile with him; however, Cleveland explains that he forgives her for cheating on him but he must move on with his life. Cleveland then visits Carolyn, whom he discovers is cheating on him with Quagmire. He goes to see Brian, and they make amends, as Cleveland notes that he is feeling a burning sensation when he urinates."
112,7,2,I Dream of Jesus,8,"Peter buys a record of his favorite song (""Surfin' Bird"" by The Trashmen) and listens to it incessantly, annoying his family. Eventually, Stewie and Brian steal (and destroy) the record. Distraught, Peter goes to the record store for another copy and discovers that the clerk is Jesus Christ; Jesus explains that he returns every 100 years or so to check on the world. Peter befriends Jesus, and convinces him to reveal himself. Jesus then becomes a celebrity, neglecting his friendship with Peter; he is then found drunk in an apartment and arrested. Peter pays his bail; Jesus realizes he still has some maturing to do and decides to return to his home. Before he leaves, Jesus gives Peter a present: another record of ""Surfin' Bird""."
113,7,3,Road to Germany,8.1,"During a party at the Griffin house Mort Goldman accidentally steps into Stewie's time machine (mistaking it for a bathroom), forcing Brian and Stewie to take a return pad and go after him. They find Mort in a Warsaw, Poland synagogue, thinking he is in heaven since he sees dead family members there. They soon realize the date is September 1, 1939, the day of the Nazi invasion of Poland and the beginning of World War II. The return pad breaks and they decide to go to England, where it will be safe to repair it. In England, Stewie realizes that the return pad is out of uranium fuel and Brian suggests they find some in a nuclear-testing facility in Berlin. At the facility Stewie disguises himself as Hitler; the other two disguise themselves as Nazi officers, and obtain the needed uranium. They then encounter the real Hitler (who orders their execution), but they escape on the return pad back to their own time and arrives back in Stewie's room 30 seconds before Mort entered the time machine. To keep these events from repeating, Stewie kills the version of Mort who traveled with them."
114,7,4,Baby Not on Board,7.5,"The Griffins decide to take a trip to the Grand Canyon. They inadvertently leave Stewie in the house, not realizing it until they are in New York (where they call Cleveland and Quagmire to check on him). When Stewie realizes he is alone, he decides to enjoy his solitude. Cleveland and Quagmire arrive, and Stewie mistakes them for intruders and sprays them with tear gas. Realizing his mistake, he chains them to the Griffins' basement wall and leaves the DirecTV instructional channel on to occupy their attention. Lois becomes worried after not hearing from Cleveland or Quagmire, so the Griffins return home. After Stewie finishes all the food in the house he realizes he needs his family, and embraces them when they return."
115,7,5,The Man with Two Brians,7.6,"When Brian is hurt, the Griffins think he may be getting too old. Peter buys a younger dog, whom he calls ""New Brian"". New Brian's upbeat attitude makes Brian feel unloved (especially when the Griffins begin ignoring him), and he decides to leave home. New Brian's relentless cheerfulness begins annoying Stewie, who asks Brian to return. Brian refuses, saying he will not come back if New Brian is there. Stewie tells New Brian he does not like him, and New Brian retaliates by revealing that he violated Rupert (Stewie's teddy bear). Angered, Stewie kills New Brian and forges a suicide note; the Griffins then take Brian back."
116,7,6,Tales of a Third Grade Nothing,7.1,"Peter tries to get a promotion by impressing his boss Angela, which leads to his inadvertently blowing up part of a children's hospital. After he is then told he needs to finish third grade to get the promotion, he returns to school. Peter resents being there, and only passes the grade after winning a spelling bee. When he returns to his job for the promotion, Angela informs him he is under arrest for blowing up the hospital."
117,7,7,Ocean's Three and a Half,7.6,"Bonnie gives birth to her baby, a beautiful girl named Susie; however, Joe is unable to pay her medical bills. He turns to a loan shark for the money, and ends up in debt. Peter and his friends ask Carter for money to pay the debt, but Carter refuses. In a final act of desperation, Peter suggests that they rob Carter. However, when they reach Carter's vault Lois arrives and convinces Joe to stop. She talks Carter into providing the money, telling him she is using it for a divorce lawyer; when Peter asks her if she is joking, Lois says nothing (leaving Peter worried)."
118,7,8,Family Gay,7.5,"Peter participates in medical experiments to pay off a debt. One includes his being injected with the ""gay gene"". Peter then becomes involved in a gay relationship, leaving his family heartbroken. Seeing how unhappy Lois is, Brian and Stewie plan to take Peter to a camp to ""turn him straight"". When Lois finds out she stops them, since she believes Peter has the right to be happy with whomever he chooses. Later that night the gay gene's effect wears off, and Peter returns to his family."
119,7,9,The Juice Is Loose,6.4,"In this supposedly-lost episode from 2007 Peter cashes in a raffle ticket from 1989 and wins a golf outing with O. J. Simpson, unaware of Simpson's accusations of murder. He befriends Simpson, and takes him home to meet his family. Word soon spreads that Simpson is staying in Quahog, and the town's residents try to drive him out. Desperate for somewhere to live in peace, Simpson makes a heartfelt speech; he confesses that he is as imperfect as everyone else, and the residents of Quahog apologize. A moment later, however, Simpson pulls a knife, kills three people before running off and the mob resumes its chase."
120,7,10,Fox-y Lady,6.9,"Lois gets a job at Fox News, although Brian warns her that the channel is a biased network. On her first day she is assigned to an exposé on Michael Moore alleging that he is homosexual. When she spies on him at home she sees Rush Limbaugh leaving, causing her to conclude that Limbaugh and Moore are in a relationship. However, Fox News refuses to allow any material unfavorable to a conservative to be broadcast (making Lois realize that Brian was right). Lois and Brian take the story into their own hands, confronting whom they think to be Moore and a naked Limbaugh in a bedroom only to realize they are both Fred Savage. Flabbergasted, Lois decides to report his story instead. At the end, Lois is revealed to no longer work as a reporter; she does not reveal how or why, since no one cares."
121,7,11,Not All Dogs Go to Heaven,7.7,"Meg becomes a born-again Christian after watching a Christian TV show starring Kirk Cameron. She begins talking about Christianity to the Griffins, who are uninterested in her new-found faith. Meg asks Brian for help, but he confides that he is an atheist. She spreads the news of Brian's atheism around Quahog (which detests atheists), making him a social outcast; he is banned from every bar and convenience store in Quahog, making it impossible for him to drink. Brian fakes repentance (convincing Meg to cease hostilities against him so he can return to drinking), but she takes him to burn books which are ""harmful to God"". Disgusted, Brian comes clean and tries to convince Meg that what she is doing is wrong. When she refuses to listen Brian points out that if there were truly a loving God, he would not have created Meg in a family contemptuous of her. Ashamed, Meg concedes and apologizes for her behavior. Brian then assures her that the answers are inside herself, and the real meaning of existence is out there. It is later revealed that the Family Guy universe takes place within the molecules of a lampshade in the bedroom of Adam West and Rob Lowe (who appear wishing each other good night in a live action scene parodying Bert and Ernie from Sesame Street)."
122,7,12,420,7.7,"After Brian is arrested for drug possession, he launches a campaign to legalize marijuana in Quahog. After an elaborate musical, Mayor West passes a law legalizing the drug. Everyone starts smoking it; the town improves as a result, with a decrease in crime. However, Carter begins losing money in the timber industry (since hemp is being used to manufacture many products). He bribes Peter to help him with an anti-marijuana campaign, which ultimately fails. Carter then bribes Brian by promising to publish and ship his novel, Faster Than the Speed of Love. He reluctantly complies, and the drug becomes illegal once more. Brian's novel is released but is criticized and sells no copies."
123,7,13,Stew-Roids,7.9,"Susie attacks Stewie; upset by this, Peter takes Stewie to train at the local gym. A trainer notices Stewie struggling with barbells and offers them steroids. Peter injects the drugs into Stewie, who becomes well-developed. As time passes, Stewie's drugs gradually wear off; to his horror, his skin becomes loose and flabby. He jumps out his bedroom window to avoid Brian (whom he had previously annoyed), only to have his loosened skin help him glide to safety. At the end of the episode, his body inexplicably returns to normal."
124,7,14,"We Love You, Conrad",7.3,"Brian learns that his ex-girlfriend Jillian is getting married, and goes to a local bar to drown his sorrows. In a drunken stupor, he meets Lauren Conrad (although he does not realize this until they wake up in bed the next morning). Against Brian's wishes, Stewie leaks the relationship online; this results in a media circus and the claim that Lauren is a ""dumb blonde"". Attempting to break off the relationship, Brian realizes that Lauren is an accomplished woman. Brian becomes even more uncomfortable with the relationship, comparing himself to Lauren. Realizing that Brian never got over the end of his relationship with Jillian, Lauren encourages him to tell her know how he feels. Brian uses Jillian's wedding as an opportunity to interrupt the ceremony and passionately profess his love for her. Jillian replies that she has moved on, and he needs to do the same."
125,7,15,Three Kings,8.2,"Peter imagines his friends and family in three of Stephen King's best-known works: Stand by Me, Misery and The Shawshank Redemption."
126,7,16,Peter's Progress,7.1,"Peter learns from Cleveland's Jamaican psychic cousin, Madame Claude, in a palm reading that in a past life he was Griffin Peterson (the founder of Quahog). We are shown a 17th-century England in which Griffin proposes to the love of his life, Lady Redbush. The ruthless King Stewart III, however, spots Redbush strolling through town and decides that he will marry her. When Griffin is en route to his wedding, Stewart exiles him to the New World. As Lady Redbush waits in growing anxiety, Stewart walks into the church; he tells her Griffin is dead, marrying her himself. Reaching the New World, Griffin establishes the colony of Quahog (which becomes a thriving settlement) and moves on with his life. King Stewart's jester soon reveals the truth to Redbush, who leaves for Quahog and reunites with Griffin. When the king learns Redbush is gone, he leaves for Quahog to reclaim her. When they are found, Griffin threatens to kill an officer and Stewart threatens to kill Redbush. After the exchange of threats, Griffin and Stewart decide to settle their dispute with a talent show. For his act, King Stewart steals his jester's (mostly unfunny) jokes. However, Griffin steals the show with a techno-rock number; he and Redbush live happily ever after in Quahog."
